Author,Title,Polish,English
Kwiat Jabłoni,Hot16Challenge2,"To jest nasz pierwszy raz w życiu,
Nigdy nie było tak jeszcze,
Tak, że oboje piszemy jeden tekst.
Już dwa miesiące w ukryciu,
Ten sam jest obiad i przestrzeń.
Dzielimy te same myśli, więc słowa też.
Każdego dnia, każdej nocy
Ta jedna myśl, a nie tysiąc:
Co byłoby gdyby nie było tego, co było.
Nie mamy specjalnych mocy,
Ale możemy przysiąc,
Że tak na życie się wcześniej nie patrzyło.

Mamy tylko tu i teraz.
Brakuje słów, zaczniemy od zera.
Tu i teraz.
Brakuje słów, zaczniemy od zera.
Tu i teraz.
Brakuje słów, zaczniemy od zera.

Nominujemy Jacka Stachurskiego,
Jurka Owsiaka, Sorry Boys, naszego Starego.
Jacka Stachurskiego,
Jurka Owsiaka, Sorry Boys, naszego Starego.","That's the first time in our lives
It never happened before
That the both of us are writing the same lyrics
Two months, already, we're hidden
It's the same dinner and and same space
Sharing the same thoughts, our words, too, are the same
Every single day and night
That single thought, not a thousand
What would've happened if what happened hadn't have happened
We don't have special powers
But we can promise you this
This isn't how one used to look at life before now

We've only got here and now
For the lack of words, we'll start from scratch
Here and now
For the lack of words, we'll start from scratch
Here and now
For the lack of words, we'll start from scratch

We nominate Jacek Stachursky,
Jurek Owsiak, Sorry Boys, our Old Man.
Jacek Stachursky,
Jurek Owsiak, Sorry Boys, our Old Man."
Kwiat Jabłoni,Bankiet,"To tylko kolejny uścisk dłoni
Pod stołem by nikt nie widział
To tylko kolejne słowa
Padły by nikt nie usłyszał

A Ty jesteś spokojny i tak
Jak zawsze od lat na raz
Stajesz się wolny na dwa
Oślepniesz na świat

Jesteś kolejną twarzą
Daleko na końcu bankietu
Płyniesz cicho jak rzeka
Z rozpędu trafiasz do celu

[Ref]
Tylko nie przegap dnia
Jak gwiazdy spadające
I nie przegap dnia
Znika na horyzoncie

Nie przegap dnia
Jak gwiazdy spadające
I nie przegap dnia
Znika na horyzoncie

Mówisz, że takie są czasy
I od nas nic nie zależy
Żadne z nas nic nie znaczy
Każdy ruch w pustkę uderzy

A Ty jesteś spokojny i tak
Jak zawsze od lat na raz
Staniesz się wolny na dwa
Oślepniesz na świat

Jesteś kolejną twarzą
Daleko na końcu bankietu
Płyniesz cicho jak rzeka
Z rozpędu trafiasz do celu

[Ref]
Tylko nie przegap dnia
Jak gwiazdy spadające
I nie przegap dnia
Znika na horyzoncie

Nie przegap dnia
Jak gwiazdy spadające
I nie przegap dnia
Znika na horyzoncie

Nie przegap dnia
Jak gwiazdy spadające
I nie przegap dnia
Znika na horyzoncie

Nie przegap dnia
Jak gwiazdy spadające
I nie przegap dnia
Znika na horyzoncie","[Title: The Banquet]
It's just another handshake
Under the table so that nobody sees it
It's just another words
Spoken so that nobody hears it

And you compose yourself anyway
On one, as you've always done before
Freeing yourself, on two
Losing sight of what's around you

You're just another face
Deep at the back of the banquet
Flowing silently like a river
The momentum brings you to your target

[Chorus]
Just don't let the day slip through your fingers
Like the falling stars
And don't let the day slip through your fingers
It's disappearing on the horizon

Don't let the day slip through your fingers
Like the falling stars
And don't let the day slip through your fingers
It's disappearing on the horizon

You're saying it's the times we're living in
It's all out of our control
We don't have any meaning
All our struggles will come to nothing

And you compose yourself anyway
On one, as you've always done before
Freeing yourself, on two
Losing sight of what's around you

You're just another face
Deep at the back of the banquet
Flowing silently like a river
The momentum brings you to your target

[Chorus]
Just don't let the day slip through your fingers
Like the falling stars
And don't let the day slip through your fingers
It's disappearing on the horizon

Don't let the day slip through your fingers
Like the falling stars
And don't let the day slip through your fingers
It's disappearing on the horizon

Don't let the day slip through your fingers
Like the falling stars
And don't let the day slip through your fingers
It's disappearing on the horizon

Don't let the day slip through your fingers
Like the falling stars
And don't let the day slip through your fingers
It's disappearing on the horizon"
Kwiat Jabłoni,Buka 1,"W dolinie spokój
A w niej wreszcie mieszkam ja
Świat mam na oku
I taki już jest od lat

I pytasz czemu na trawie jest szron
I skąd nadchodzi czarny front
Chmur, które idą do nas
Wiatr wieje ze wszystkich stron
Lepiej zamknę drzwi

Wiem, że nie ma nic gorszego niż Buka
Mówi, że wróci, ale nie wiesz kiedy
I stanie pod domem, bo siebie się nie da oszukać
Strach jest ten sam, jak wtedy

Wyglądam przez okno
Raczej nie przyszedł nikt
Ale podobno
Nie wszystko widać gdy...

Na szybach i na trawie jest szron
Gdy nadchodzi czarny front
Chmur, które idą do nas
Wiatr wieje ze wszystkich stron
Lepiej zamknę drzwi

Wiem, że nie ma nic gorszego niż Buka
Mówi, że wróci, ale nie wiesz kiedy
I stanie pod domem, bo siebie się nie da oszukać
Strach jest ten sam, jak wtedy

Wiem, że nie ma nic gorszego niż Buka
Mówi, że wróci, ale nie wiesz kiedy
I stanie pod domem, bo siebie się nie da oszukać
Strach jest ten sam, jak wtedy

Po tylu latach wiem już na pewno
Że kiedy przyjdzie jasne będzie jedno
Złe myśli nie były tego warte
Zostawię drzwi otwarte","It's quiet in the valley
And I live down there at last
I keep an eye out on the world
And it's been like this for years now

And you ask me why there's frost on the grass
and where's the black front coming from
of the clouds coming toward us
The wind's blowing from all sides
I'd better close the door

I know there's nothing more scary than the Groke
She says she'll be back but you don't know when
and she will stand outside the house 'cause you can't lie to yourself
The fear is the same as back then

I look out the window
I don't think anyone came
But allegedly
not all can be seen when...

there's frost on the window panes and the grass
When the black front is coming
of the clouds coming toward us
The wind's blowing from all sides
I'd better close the door

I know there's nothing more scary than the Groke
She says she'll be back but you don't know when
and she will stand outside the house 'cause you can't lie to yourself
The fear is the same as back then

I know there's nothing more scary than the Groke
She says she'll be back but you don't know when
and she will stand outside the house 'cause you can't lie to yourself
The fear is the same as back then

After all these years what I know for certain
is that when she comes, one thing will be clear
The bad thoughts were never worth it
I'll leave my door open"
Kwiat Jabłoni,Byle Jak,"Latami pracuje ciężko
Tnąc gałąź, na której ciągle siedzi sam
Dni co raz szybciej biegną
Lecz jeszcze dzisiaj nie sięgnie dna

Jesteś dla niego przestrzenią
Popisów polem i miejscem ważnych spraw
Gdy spadnie będzie pewien
Nie byłaś polem a celem

Jak mam obronić ziemię i jak walczyć nie wiem
I wszystko robię byle jak
Byle jak, byle jak, byle jak
Byle jak, byle jak, byle jak
Byle jak, byle jak, byle jak

Myślał, że zna Cię na wylot
Że da się zmierzyć Cię według jego praw
Zważyć i wycenić wszystko
Co znajdzie pośród słońc i traw

Samego siebie wyprzedzał
Myślał, że idzie po Tobie by znaleźć dom
Nigdy tego nie pojął
Nie szedł po Tobie, lecz z Tobą

Jak mam obronić ziemię, kiedy mam wrażenie
Że bronić będę całkiem sam
Całkiem sam, całkiem sam, całkiem sam
Całkiem sam, całkiem sam, całkiem sam
Całkiem sam, całkiem sam, całkiem sam
Całkiem sam, całkiem sam, całkiem sam

Jak mam bronić Ciebie, gdy jak walczyć nie wiem?
Jak mam bronić Ciebie?
Jak mam bronić Ciebie, gdy jak walczyć nie wiem?
Jak mam bronić Ciebie?
Jak mam bronić Ciebie?
Jak mam bronić Ciebie?
Jak mam bronić Ciebie, gdy jak walczyć nie wiem?
Jak mam bronić Ciebie?
Jak mam bronić Ciebie?
Jak mam bronić Ciebie?

Byle jak
Całkiem sam
Byle jak
Całkiem sam
Byle jak, byle jak, byle jak
Całkiem sam, całkiem sam, całkiem sam
Byle jak, byle jak, byle jak
Całkiem sam, całkiem sam, całkiem sam (Ej!)","[Title: Sloppily]
Throughout the years he's been working hard
Sawing off the branch he's been sitting on
The days are fleeting ever so quicker
But today's not the day he hits the bottom

He sees you as an expanse
A place to show off and for matters of great importance
When he falls down he'll know
You weren't a place, but the purpose

How can I stand my ground and how can I fight, I wonder
And I'm doing everything sloppily
Sloppily, sloppily, sloppily
Sloppily, sloppily, sloppily
Sloppily, sloppily, sloppily

He thought he could see through you
That he could measure you by his standards
Weigh and appraise everything
He'll find among the suns and grasses

He's been rushing himself
Thinking he's following you to find a home
He's never understood
He's been walking alongside you this whole time

How can I stand my ground, when I get the feeling
I'll be standing on my own
On my own, on my own, on my own
On my own, on my own, on my own
On my own, on my own, on my own
On my own, on my own, on my own

How can I guard you, when I don't know how to fight?
How can I guard you?
How can I guard you, when I don't know how to fight?
How can I guard you?
How can I guard you?
How can I guard you?
How can I guard you, when I don't know how to fight?
How can I guard you?
How can I guard you?
How can I guard you?

Sloppily
On my own
Sloppily
On my own
Sloppily, sloppily, sloppily
On my own, on my own, on my own
Sloppily, sloppily, sloppily
On my own, on my own, on my own (Hey!)"
Kwiat Jabłoni,Byl Tam Gdzie Byl,"Nieważne jak, nieważne gdzie
On zawsze był z kimś
Zawsze był z kimś on

Wysoko w górach czy na dnie
On nigdy nie był sam
Nigdy nie był sam, nie

Mniej więcej tam, gdzie splot słoneczny
Był ktoś i budził go
Co dzień budził go ze snu
Gdy tylko ciszy było więcej
Wtedy zaczynał czuć
Że jest ich w sumie dwóch
Że jest ich w sumie dwóch

Ucieka, kiedy tylko się da
Chociaż nie ma szans
Biega szybciej, niż biegnie on sam
Przed sobą ukryć się nie ma jak
On był zawsze tam, gdzie był ze sobą

Czasami w nocy nie mógł spać
Siedział przy oknie i szukał wzrokiem nowych miejsc
Wyjedzie stąd jak przyjdzie czas
I w końcu będzie tam
Bez tego, co mu robi źle

Mniej więcej tam, gdzie patrzył wtedy
Znalazł swój nowy dom
W którym miał się dobrze czuć
Teraz przy nowym oknie siedzi
I coraz częściej stare myśli przychodzą
Stare myśli przychodzą

[x2]:
Ucieka, kiedy tylko się da
Chociaż nie ma szans
Biega szybciej, niż biegnie on sam
Przed sobą ukryć się nie ma jak

On był zawsze tam, gdzie był ze sobą
On był zawsze tam, gdzie był ze sobą
On był zawsze tam, gdzie był ze sobą
On był zawsze tam, gdzie był ze sobą

On był zawsze tam, gdzie był ze sobą",
Kwiat Jabłoni,Bylominelo,"Było, minęło
Było miło, minęło
Było miło, minęło, minęło
Było, minęło
Było miło, minęło
Było miło, minęło, minęło

Po trochu tracę fragment siebie
Za każdym razem kiedy jestem z Tobą razem
Padam z nóg

Mimo tylu wrażeń i wielkich marzeń
Mogę wiele z siebie dać
By odejść znów

Wiem, że słów na pewno mi zabraknie
Więc będzie łatwiej
Gdy mnie nie odnajdziesz
Tak będzie łatwiej
Więc odejdę stąd nad ranem, snem zostanę
Wiem, że będzie łatwiej
Będzie łatwiej
Będzie łatwiej, wiem

Po trochu zbieram w całość siebie
I już niе pytam Ciebie jak się czujesz
Mój świat wirujе

Mimo tylu nadziei wiem, że trzeba było to zmienić
Mogę dziś dać niemało
By tak zostało

Wiem, że słów na pewno mi zabraknie
Więc będzie łatwiej
Gdy mnie nie odnajdziesz
Tak będzie łatwiej
Więc odejdę stąd nad ranem, snem zostanę
Wiem, że będzie łatwiej
Będzie łatwiej
Będzie łatwiej, wiem

Było, minęło
Było miło, minęło
Było miło, minęło, minęło
Było, minęło
Było miło, minęło
Było miło, minęło, minęło
Było, minęło
Było miło, minęło
Było miło, minęło, minęło
Było, minęło
Było miło, minęło
Było miło, minęło, minęło

Wiem, że słów na pewno mi zabraknie
Więc będzie łatwiej
Gdy mnie nie odnajdziesz
Tak będzie łatwiej
Więc odejdę stąd nad ranem, snem zostanę
Wiem, że będzie łatwiej
Będzie łatwiej
Będzie łatwiej, wiem
Będzie łatwiej, wiem
Będzie łatwiej, wiem","It was, it’s gone
It was nice, it’s gone
It was nice, it’s gone
It’s gone, it was, it’s gone
It was nice, it’s gone
It was nice, it’s gone
It's gone…

Little by little, I’m losing a piece of myself
Every time
When I’m with you
I fall apart

Despite all the experiences and big dreams
I can give a lot of myself
To leave again

I know that words will surely fail me
So it will be easier when you can’t find me
It will be easier, so
I’ll leave here in the morning
I’ll remain in a dream
I know it will be easier
It will be easier
It will be easier, I know

Little by little, I gather myself together
And I no longer ask how you feel
My world is spinning
Despite so much hope
I know it had to change
I can give a lot today, so it stays that way

I know that words will surely fail me
So it will be easier when you can’t find me
It will be easier, so
I’ll leave here in the morning
I’ll remain in a dream
I know it will be easier
It will be easier
It will be easier, I know

It was, it’s gone
It was nice, it’s gone
It was nice, it’s gone
It’s gone, it was, it’s gone
It was nice, it’s gone
It was nice, it’s gone
It’s gone…

I know that words will surely fail me
So it will be easier when you can’t find me
It will be easier, so
I’ll leave here in the morning
I’ll remain in a dream
I know it will be easier
It will be easier
It will be easier, I know"
Kwiat Jabłoni,Chodzmy Nad Wode,"Wróciło lato i noce są jasne
Chcę znowu spotkać cię po raz pierwszy
Chodźmy nad wodę
Na twoich kolanach zasnę
Wymyślę więcej dobrych wierszy
Chodźmy nad wodę

A woda szeroka
Chłodna, głęboka
Śpiewam i szepczę
Jeszcze, jeszcze
Razem możemy więcej
Razem możemy więcej
Razem możemy więcej

Odpowiem na każde twoje pytanie
Zrozumiem cię bez słów
Teraz już mogę
Wstanę pewnie wcześnie nad ranem
Pośród innych niebieskich głów
Chodźmy nad wodę

A woda szeroka
Chłodna, głęboka
Śpiewam i szepczę
Jeszcze, jeszcze
Razem możemy więcej
Razem możemy więcej
Razem możemy więcej

Woda, woda szeroka
Chłodna, głęboka
Śpiewam i szepczę
Jeszcze, jeszcze
Razem możemy–

Woda szeroka
Chłodna, głęboka
Śpiewam i szepczę 
Jeszcze, jeszcze
Razem możemy więcej
Razem możemy więcej
Razem możemy więcej","The summer's back and the nights are brighter
I want to, again,  meet you for the first time
Let's go down by the water
I'll fall asleep on your lap
I'll come up with more of good poems
Let's go down by the water

And the water, wide
Chilly, deep
I'm singing and whispering
More, more
Together we can do more
Together we can do more
Together we can do more

I'll answer all your questions
I'll understand you without words
Now I'm able to
I'll probably wake up early in the morning
Amidst other blue heads
Let's go down by the water

And the water, wide
Chilly, deep
I'm singing and whispering
More, more
Together we can do more
Together we can do more
Together we can do more

The wa- the water, wide
Chilly, deep
I'm singing and whispering
More, more
Together we can-
The water, wide
Cold, deep
I'm singing and whispering
More, more
Together we can do more
Together we can do more
Together we can do more"
Kwiat Jabłoni,Czarny Pyl,"Boję się, boję
Zobaczyłam za dużo 
I wolniej niż inni
Zbieram się z podłogi
W miejscu stoję, stoję
I ruszyć mi trudno
Bo idąc, zbyt często
Patrzę pod moje nogi

I zbieram ślimaki, przenoszę na trawnik
Nade mną chmury informacji
I wiem, że już nigdy nie będzie jak dawniej
Zgubiłam wszystko to, co zwyczajne

W płucach czarny pył
Ile jeszcze będzie można żyć?
Mocno przytul mnie, bo jesteśmy sami
Tacy sami w tę bezchmurną noc
Byle gwiazdy z satelitami

Coraz gorzej widzę, idę po omacku 
Sądząc po cieniach na ścianie
Oczu nawet mnie mrużąc
Przyjmuję każde, każde, każde kolejne zdanie

Więc jak zatrzymać sobie mam
Namiętności żywej stan
Kiedy szare niebo
Wszystkim jest co dobrze znam

W płucach czarny pył
Ile jeszcze będzie można żyć?
Mocno przytul mnie, bo jesteśmy sami
Tacy sami w tę bezchmurną noc
Byle gwiazdy z satelitami

Odkąd pamiętam, czasy niepewne
Lecz te mi się zdają końca początkiem
Głowy brakuje mi jeszcze jednej
Bo choć nie chcę, i tak płynę z prądem

W płucach czarny pył
Ile jeszcze będzie można żyć?
Mocno przytul mnie, bo jesteśmy sami
Tacy sami w tę bezchmurną noc
Byle gwiazdy z satelitami",
Kwiat Jabłoni,Czekam Na Lepszy Dzien,"Czekam na lepszy dzień!

Bo kiedy nie ma Ciebie
Słońce inaczej świeci
Co robić sam już nie wiem

Czekam na lepszy dzień!

Bo kiedy nie ma Ciebie
Świat się przestaje kręcić
Co robić sam już nie wiem

Czekam na lepszy dzień!

Bo kiedy nie ma Ciebie
Słońce inaczej świeci
Co robić sama nie wiem

Czekam na lepszy dzień!

Bo kiedy nie ma Ciebie
Świat się przestaje kręcić
Co robić sama nie wiem

Czekam na lepszy dzień!


Bo kiedy nie ma Ciebie
Słońce inaczej świeci
Co robić sam(a) już nie wiem

Czekam na lepszy dzień!

Bo kiedy nie ma Ciebie
Świat się przestaje kręcić
Co robić sam(a) już nie wiem

Czekam na lepszy dzień!","I'm waiting for a better day!

Because when you're not there
The sun shines differently
I don't know what to do anymore

I'm waiting for a better day!

Because when you're not there
The world stops spinning
I don't know what to do anymore

I'm waiting for a better day!

Because when you're not there
The sun shines differently
I don't know what to do anymore

I'm waiting for a better day!

Because when you're not there
The world stops spinning
I don't know what to do anymore

I'm waiting for a better day!

Because when you're not there
The sun shines differently
I don't know what to do anymore

I'm waiting for a better day!

Because when you're not there
The world stops spinning
I don't know what to do anymore

I'm waiting for a better day!"
Kwiat Jabłoni,Dom,"Znowu zamykam drzwi
Na noc przekręcam czwarty spust
Zasłaniam okna, by
Nikt nie zobaczył drżących ust
Szczelin i pęknięć brak
Pozamykany szczelnie dom
Na zewnątrz wszystko gra
A w środku nie wiadomo, co

Odkąd pamiętam, meble spadają
I trzęsie się dach
Przez domem spokój
Aż słychać najlżejszy wiatr

Nie umiem wyjść, żeby stanąć przy tobie
Mijają dni, znowu nic ci nie powiem
Znów mi się śnisz
I że nie mogę podejść
Czy starczy mi lat, żeby pozbyć się ścian?
Czy starczy mi lat, żeby pozbyć się ścian?

Spędzam kolejny dzień
W tym domu bez pękniętych ścian
Zamknięte okna, drzwi
Dostać się do mnie nie ma jak
Sam nie wiem, jak mam wyjść
Nie tylko szyby są ze szkła
Jak mam się ruszyć, gdy
Nie widzę granic moich ran

Odkąd pamiętam, meble spadają
I trzęsie się dach
Przez domem spokój
Aż słychać najlżejszy wiatr

Nie umiem wyjść, żeby stanąć przy tobie
Mijają dni, znowu nic ci nie powiem
Znów mi się śnisz
I że nie mogę podejść
Czy starczy mi lat, żeby pozbyć się ścian?
Czy starczy mi lat, żeby pozbyć się ścian?

Płomienie trawią od środka dom
Pożar wybucha we mnie co noc
Chcę powiedzieć wszystko, lecz brakuje słów
Za mało lat, za mało lat, za mało...

Nie umiem wyjść, żeby stanąć przy tobie
Mijają dni, znowu nic ci nie powiem
Znów mi się śnisz
I że nie mogę podejść
Czy starczy mi lat, żeby pozbyć się ścian?
Czy starczy mi lat, żeby pozbyć się ścian?

Nie umiem wyjść, żeby stanąć przy tobie
Mijają dni, znowu nic ci nie powiem
Znów mi się śnisz
I że nie mogę podejść
Czy starczy mi lat, żeby pozbyć się ścian?","I close the door again
For the night I turn the fourth lock
I close the curtains, so that
No one sees the trembling lips
There are no gaps nor cracks
The house is tightly shut
Everything is fine outside
And who knows what on the inside

For as long as I can remember, the furniture is falling
And the roof is shaking
Calm in front of the house
You can hear the slightest gust

I can't leave, to stand by you
Days pass, again I won't tell you a thing
You're in my dream again
And that I can't approach
Are theese years enough to get rid of the walls?*
Are theese years enough to get rid of the walls?

I spend another day
In this house with no cracked walls
Closed windows, doors
There's no way to get to me
I don't know how to get out
Not only the windows are made of glass
How do I move on when
I cant't see the limits of my wounds

For as long as I can remember, the furniture is falling
And the roof is shaking
Calm in front of the house
You can hear the slightest gust

I can't leave, to stand by you
Days pass, again I won't tell you a thing
You're in my dream again
And that I can't approach
Are theese years enough to get rid of the walls?
Are theese years enough to get rid of the walls?

The flames are consuming the house from the inside
The fire breaks out inside me every night
I want to say everything, but the words won't suffice
Too few years, too few years, too few...

I can't leave, to stand by you
Days pass, again I won't tell you a thing
You're in my dream again
And that I can't approach
Are theese years enough to get rid of the walls?
Are theese years enough to get rid of the walls?

I can't leave, to stand by you
Days pass, again I won't tell you a thing
You're in my dream again
And that I can't approach
Are theese years enough to get rid of the walls?

----------------------
*alternativly ""Do I have enough time for the walls to tear down?"""
